Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,160.44,160.78999,158.74001,159.08,2875400,159.08
2015-05-28,160.35001,160.89,159.61,160.87,1578100,160.87
2015-05-27,159.82001,161.31,159.53,161.02,2625900,161.02
2015-05-26,160.98,161.32001,159.03999,159.59,2471100,159.59
2015-05-22,161.99001,162.33,160.66,160.98,1822700,160.98
2015-05-21,161.89999,162.35001,161.80,162.06,2400800,162.06
2015-05-20,162.42,163.07001,161.84,161.89999,1978100,161.89999
2015-05-19,163.07001,163.59,162.55,163.12,2075100,162.095
2015-05-18,163.00,163.59,162.31,162.87,1747800,161.84657
2015-05-15,163.14999,163.77,162.64999,163.30,1923800,162.27388
2015-05-14,162.09,163.30,161.80,163.14999,2462500,162.1248
2015-05-13,160.42999,161.74001,160.36,161.31,2587900,160.29637
2015-05-12,158.71001,160.39999,158.00999,160.07001,1864800,159.06418
2015-05-11,160.25999,161.00,159.80,159.89999,1708700,158.89523
2015-05-08,160.25,161.39999,160.06,160.60001,2025500,159.59085
2015-05-07,157.23,159.20,157.23,158.61,2112900,157.61334
2015-05-06,157.92,159.08,156.55,157.64,2203100,156.64943
2015-05-05,158.86,159.45,157.41,157.91,1947700,156.91774
2015-05-04,158.39999,159.85001,157.88,159.02,2240300,158.02077
2015-05-01,156.78999,158.09,156.78999,157.67999,2160100,156.68918
2015-04-30,156.82001,157.92,156.00999,156.39,3510200,155.40729
2015-04-29,157.42,157.92999,156.17999,156.97,3078600,155.98364
2015-04-28,157.69,158.36,156.17999,158.33,3387900,157.3351
2015-04-27,159.48,160.07001,157.81,157.98,3448800,156.98729
2015-04-24,159.81,159.81,157.85001,158.99001,3043500,157.99097
2015-04-23,159.53999,161.45,158.61,159.66,5704500,158.65675
2015-04-22,163.81,164.89,162.57001,164.67,2228800,163.63525
2015-04-21,165.64999,165.70,163.62,164.00,1970500,162.96947
2015-04-20,163.00,165.39,162.73,164.50999,2394200,163.47626
2015-04-17,164.53,164.53999,161.13,161.71001,3063500,160.69386
2015-04-16,165.73,166.64999,165.10001,165.89,1662800,164.8476
2015-04-15,166.72,167.34,165.86,166.44,1995800,165.39415
2015-04-14,165.32001,166.48,164.17,165.99001,1914300,164.94698
2015-04-13,166.75999,167.36,165.60001,165.84,1860400,164.79791
2015-04-10,167.50,167.70,166.22,167.07001,1501900,166.02019
2015-04-09,166.25,167.17999,165.08,166.78999,1680100,165.74193
2015-04-08,166.21001,167.22,165.21001,166.27,1754400,165.22522
2015-04-07,165.39999,167.57001,165.28,166.21001,2479500,165.16559
2015-04-06,161.66,165.99001,161.39999,165.48,2560300,164.44017
2015-04-02,163.38,163.97,162.12,162.80,1852600,161.77702
2015-04-01,164.28999,164.53999,161.89999,162.52,2148100,161.49878
2015-03-31,165.41,166.00,164.62,164.95,2081300,163.9135
2015-03-30,164.20,166.77,164.20,166.05,1684000,165.00659
2015-03-27,162.36,163.89999,162.02,163.50,1722600,162.47261
2015-03-26,162.00,163.37,161.21001,162.59,2050700,161.56833
2015-03-25,166.24001,166.52,162.66,162.70,2540900,161.67764
2015-03-24,165.58,167.64999,165.53,166.32001,2091000,165.2749
2015-03-23,166.83,166.91,165.83,166.13,2157300,165.08609
2015-03-20,166.09,167.13,165.39,166.49001,4371800,165.44383
2015-03-19,166.16,166.21001,164.85001,165.66,1953500,164.61905
2015-03-18,163.16,166.95,162.05,166.47,3062400,165.42395
2015-03-17,165.52,165.53,163.38,164.23,2557900,163.19803
2015-03-16,163.58,166.27,163.58,166.21001,2111200,165.16559
2015-03-13,164.02,164.39,161.78,162.74001,2284700,161.71739
2015-03-12,162.59,164.52,162.57001,164.47,1715000,163.43652
2015-03-11,162.70,163.22,161.66,161.73,1894300,160.71373
2015-03-10,164.81,164.86,162.25,162.25999,2564600,161.2404
2015-03-09,164.72,166.78,164.50999,166.37,1608100,165.32457
2015-03-06,166.50,166.77,164.00999,164.36,2114400,163.32721
2015-03-05,167.21001,167.70,166.69,167.57001,1547200,166.51704
2015-03-04,168.25999,168.25999,166.46001,167.16,1575700,166.10962
2015-03-03,169.57001,169.60001,167.36,168.27,2232400,167.21265
2015-03-02,168.16,170.50,168.12,170.50,2223100,169.42863
2015-02-27,169.66,169.75,168.56,168.64999,1946000,167.59024
2015-02-26,168.85001,169.98,168.64,169.61,1789400,168.54422
2015-02-25,168.97,169.66,168.62,168.89,2019100,167.82875
2015-02-24,168.27,169.25,168.07001,169.12,1770300,168.0573
2015-02-23,168.14,168.87,167.70,168.81,1836000,167.74925
2015-02-20,166.74001,168.27,165.13,168.12,2416600,167.06358
2015-02-19,167.39999,167.55,166.58,167.09,1648800,166.04005
2015-02-18,166.92,167.50999,166.00999,167.39999,1552000,166.3481
2015-02-17,165.94,166.92,165.09,166.92,2100900,165.87112
2015-02-13,165.89999,166.62,165.33,165.94,1792000,164.89728
2015-02-12,164.92999,165.95,164.85001,165.91,1615700,164.86748
2015-02-11,164.52,164.97,163.47,164.48,1695100,163.44646
2015-02-10,165.39999,166.14,164.60001,165.82001,1885100,163.75949
2015-02-09,164.38,165.53999,163.84,164.84,2073000,162.79166
2015-02-06,166.23,167.67999,165.56,166.07001,1789000,164.00638
2015-02-05,165.31,166.59,164.75,166.55,2050500,164.48041
2015-02-04,165.78,165.83,164.24001,164.81,2363600,162.76202
2015-02-03,165.17,166.19,164.71001,165.94,2604800,163.87799
2015-02-02,162.12,164.62,160.89,164.42,2379700,162.37688
2015-01-30,164.75,165.22,162.30,162.30,3561900,160.28322
2015-01-29,164.07001,166.16,162.88,166.13,2674600,164.06563
2015-01-28,164.61,166.57001,163.75999,163.94,3574600,161.90285
2015-01-27,162.31,165.14,160.94,163.63,4190700,161.59669
2015-01-26,163.62,164.28,161.80,164.24001,3556300,162.19911
2015-01-23,165.75,165.98,163.91,164.02,2245600,161.98184
2015-01-22,163.25999,165.99001,162.13,165.89,2225800,163.82861
2015-01-21,161.66,163.37,161.02,162.53999,1597700,160.52023
2015-01-20,162.72,163.39999,160.06,161.94,2091800,159.92769
2015-01-16,159.86,162.17999,159.09,162.00,2349700,159.98695
2015-01-15,159.84,161.44,159.37,159.66,1876800,157.67603
2015-01-14,159.03999,160.53,158.50,159.84,1983500,157.85379
2015-01-13,162.23,164.38,159.45,160.62,2703000,158.62408
2015-01-12,162.39,162.39,160.02,160.74001,2149200,158.74261
2015-01-09,163.85001,164.00,161.27,161.62,2373800,159.61166
2015-01-08,160.64999,163.69,160.52,163.63,3142900,161.59669
2015-01-07,159.89999,160.28,158.94,159.80,3081300,157.81429
2015-01-06,160.82001,161.37,157.74001,158.64999,3532000,156.67857
2015-01-05,163.00,163.64,160.08,160.36,3692900,158.36732
2015-01-02,164.71001,165.08,162.73,164.06,2116400,162.02135
2014-12-31,166.00,167.17,164.20,164.32001,1623700,162.27812
2014-12-30,166.55,166.74001,165.28,165.84,1180700,163.77922
2014-12-29,166.30,167.12,165.81,166.71001,1215700,164.63843
2014-12-26,167.34,167.81,166.14999,166.25999,1607400,164.194
2014-12-24,166.17,167.61,166.17,166.96001,981600,164.88531
2014-12-23,168.02,168.16,166.87,166.87,2190200,164.79643
2014-12-22,166.22,167.31,166.14,167.27,2081600,165.19147
2014-12-19,164.78,166.09,164.36,165.48,4891300,163.42371
2014-12-18,162.39999,165.30,162.00,165.30,3359800,163.24594
2014-12-17,159.28999,160.89,157.78,160.60001,3942600,158.60435
2014-12-16,157.25999,161.44,157.08,159.05,3380800,157.07361
2014-12-15,158.12,158.44,155.59,156.85001,2609300,154.90096
2014-12-12,158.56,158.99001,157.12,157.12,2820600,155.16759
2014-12-11,159.17999,160.22,158.42,159.14999,2437300,157.17235
2014-12-10,160.71001,160.81,157.70,158.24001,3243700,156.27368
2014-12-09,159.89,161.10001,159.11,160.83,2043100,158.83148
2014-12-08,162.10001,162.80,160.10001,160.92999,1898300,158.93024
2014-12-05,162.39999,162.89999,161.88,162.27,1722600,160.2536
