Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,109.04,109.45,106.98,107.26,2809700,107.26
2015-05-28,110.25,110.86,108.77,109.24,2029000,109.24
2015-05-27,111.32,111.82,110.37,110.93,2703000,110.93
2015-05-26,113.38,113.55,110.56,110.64,2680800,110.64
2015-05-22,111.21,115.00,110.00,113.00,4853200,112.82
2015-05-21,105.23,105.96,105.04,105.89,1000200,105.72132
2015-05-20,103.80,105.58,102.63,105.50,1411200,105.33195
2015-05-19,104.25,104.67,103.64,103.72,1177800,103.55478
2015-05-18,103.51,104.18,102.94,103.45,1175400,103.28521
2015-05-15,104.52,104.90,103.11,103.41,949700,103.24528
2015-05-14,103.36,104.22,102.28,104.14,1105100,103.97411
2015-05-13,103.56,103.82,101.87,101.99,972200,101.82754
2015-05-12,102.70,103.48,101.60,103.22,1411200,103.05558
2015-05-11,102.40,104.00,102.35,103.81,2077500,103.64464
2015-05-08,101.46,102.82,101.46,102.76,2094200,102.59631
2015-05-07,98.90,101.16,98.42,100.97,1619100,100.80917
2015-05-06,98.77,99.50,97.65,99.10,1400800,98.94214
2015-05-05,100.42,101.02,98.75,98.77,1526200,98.61266
2015-05-04,101.35,102.31,100.22,100.90,1836400,100.73927
2015-05-01,100.10,102.69,99.12,101.69,5730000,101.52802
2015-04-30,95.40,96.25,92.96,94.23,4436100,94.0799
2015-04-29,97.70,97.99,95.74,96.26,1513800,96.10667
2015-04-28,98.53,98.62,97.06,97.80,1030500,97.64421
2015-04-27,99.44,100.21,98.41,98.82,1073500,98.66258
2015-04-24,98.95,100.51,98.47,98.90,1146400,98.74246
2015-04-23,99.49,99.69,98.87,98.92,1012300,98.76243
2015-04-22,98.45,99.78,98.28,99.47,856800,99.31155
2015-04-21,96.97,98.63,96.92,98.31,1220500,98.1534
2015-04-20,96.72,97.73,96.50,97.40,761400,97.24485
2015-04-17,96.18,96.50,95.29,96.10,1451300,95.94691
2015-04-16,97.95,98.54,97.13,97.17,1288000,97.01521
2015-04-15,98.66,98.83,97.77,97.96,1035700,97.80396
2015-04-14,98.72,98.97,97.64,98.09,827000,97.93375
2015-04-13,99.36,99.82,98.60,98.76,756700,98.60268
2015-04-10,98.33,99.59,98.26,99.20,1013400,99.04198
2015-04-09,98.97,98.97,97.27,97.82,1214000,97.66418
2015-04-08,98.95,100.07,98.44,98.65,1470200,98.49286
2015-04-07,98.62,99.43,98.30,98.47,1027200,98.31315
2015-04-06,97.03,100.09,96.80,98.58,1908400,98.42297
2015-04-02,94.84,98.31,94.50,97.98,2659200,97.82393
2015-04-01,93.81,94.18,92.60,94.17,1356700,94.01999
2015-03-31,93.69,96.12,93.69,94.13,1243600,93.98006
2015-03-30,94.41,94.45,93.75,94.19,1301400,94.03996
2015-03-27,92.87,94.56,92.54,93.68,922500,93.53078
2015-03-26,93.27,93.92,92.27,92.76,1381700,92.61224
2015-03-25,95.36,95.54,93.79,93.95,1848200,93.80034
2015-03-24,95.21,96.25,94.84,95.47,1078400,95.31792
2015-03-23,95.26,96.45,95.15,95.40,1504700,95.24804
2015-03-20,95.00,96.03,94.76,95.91,1663700,95.75723
2015-03-19,93.83,94.88,93.83,94.68,1221900,94.52918
2015-03-18,92.29,94.42,92.10,94.04,1802200,93.8902
2015-03-17,92.52,93.28,91.62,92.33,1583300,92.18293
2015-03-16,91.71,93.22,91.04,92.97,1377600,92.82191
2015-03-13,91.23,92.17,90.29,91.35,1132500,91.20448
2015-03-12,88.92,91.61,88.71,91.39,1262400,91.24442
2015-03-11,89.40,89.92,88.72,88.95,922600,88.8083
2015-03-10,89.62,90.28,89.00,89.35,1165000,89.20767
2015-03-09,90.25,90.78,89.88,90.55,821700,90.40576
2015-03-06,90.35,91.35,89.99,90.25,1753300,90.10624
2015-03-05,89.85,92.57,89.81,91.38,1833900,91.05473
2015-03-04,90.52,91.35,89.86,89.87,1773200,89.5501
2015-03-03,91.95,92.02,90.12,91.02,1628700,90.696
2015-03-02,90.33,92.47,90.32,92.18,1724600,91.85188
2015-02-27,93.18,93.57,91.64,91.75,1663500,91.42341
2015-02-26,93.71,95.00,92.65,93.25,2061600,92.91807
2015-02-25,94.01,94.98,94.01,94.61,1221900,94.27323
2015-02-24,94.48,94.84,93.90,94.18,1436400,93.84476
2015-02-23,92.31,94.96,92.10,94.75,3524200,94.41273
2015-02-20,91.20,92.34,90.28,92.30,1798200,91.97145
2015-02-19,90.10,91.44,89.00,91.30,2536200,90.97501
2015-02-18,88.92,89.36,88.55,89.16,2029000,88.84263
2015-02-17,89.62,90.77,88.48,88.69,2602400,88.37431
2015-02-13,89.53,90.77,88.52,89.49,3424900,89.17145
2015-02-12,87.80,92.52,86.35,89.57,15944600,89.25117
2015-02-11,78.29,78.69,77.92,78.22,1964000,77.94157
2015-02-10,78.64,78.66,76.92,78.19,2414600,77.91167
2015-02-09,77.27,78.81,76.34,78.20,4057000,77.92164
2015-02-06,79.23,80.70,76.70,77.87,12375500,77.59282
2015-02-05,88.13,88.59,87.11,88.00,3438300,87.68675
2015-02-04,87.14,88.32,87.14,87.87,1823200,87.55722
2015-02-03,86.65,87.87,85.39,87.82,1454300,87.50739
2015-02-02,86.28,86.49,83.92,86.22,1396800,85.91309
2015-01-30,86.12,87.26,85.60,85.93,1476100,85.62412
2015-01-29,86.22,86.73,84.63,86.57,832700,86.26185
2015-01-28,87.21,87.77,85.83,85.87,908800,85.56434
2015-01-27,87.06,87.50,85.78,86.68,913900,86.37145
2015-01-26,87.56,87.81,86.45,87.29,1526200,86.97929
2015-01-23,84.33,88.65,84.14,87.44,3679500,87.12875
2015-01-22,84.92,86.02,83.70,85.71,1696600,85.40491
2015-01-21,83.70,84.50,83.19,84.08,2544200,83.78071
2015-01-20,84.03,84.41,82.49,83.94,2140900,83.64121
2015-01-16,82.61,84.09,81.97,83.48,2939400,83.18285
2015-01-15,85.81,85.81,82.28,82.53,2982500,82.23623
2015-01-14,84.26,85.82,83.72,85.39,1607200,85.08604
2015-01-13,85.84,87.18,83.88,85.02,1466400,84.71736
2015-01-12,87.39,87.90,84.92,85.17,1477600,84.86683
2015-01-09,88.03,88.76,87.22,87.55,1593500,87.23836
2015-01-08,84.66,88.19,84.10,87.89,2263300,87.57715
2015-01-07,85.01,85.63,83.81,84.17,1663600,83.87038
2015-01-06,84.72,85.78,83.31,84.17,2079800,83.87038
2015-01-05,85.45,85.87,83.81,84.20,1683200,83.90028
2015-01-02,85.58,86.26,84.48,85.76,1257600,85.45473
2014-12-31,86.41,86.47,85.26,85.36,1241300,85.05615
2014-12-30,87.70,87.86,85.41,85.97,1769100,85.66399
2014-12-29,89.34,89.38,87.95,88.20,1064000,87.88604
2014-12-26,89.34,89.92,89.07,89.31,853900,88.99209
2014-12-24,89.00,89.56,88.92,89.01,266000,88.69316
2014-12-23,89.75,89.97,88.87,88.92,1404900,88.60348
2014-12-22,88.40,89.90,88.35,89.33,1693100,89.01202
2014-12-19,88.33,88.66,87.41,88.06,5206200,87.74654
2014-12-18,87.60,88.30,87.15,87.79,1751900,87.4775
2014-12-17,86.57,87.19,85.29,86.86,2181400,86.55081
2014-12-16,87.24,88.15,85.98,86.04,1766800,85.73373
2014-12-15,88.19,88.66,86.68,87.33,2009500,87.01914
2014-12-12,86.06,87.95,85.70,87.53,1758900,87.21843
2014-12-11,88.21,89.55,87.16,87.32,1210500,87.00918
2014-12-10,90.20,90.85,87.38,87.78,2352600,87.46754
2014-12-09,89.54,91.02,88.31,90.70,1352400,90.37714
2014-12-08,91.13,91.55,89.61,90.31,1771600,89.98853
2014-12-05,90.17,92.08,90.03,91.35,2734900,91.02483
2014-12-04,88.40,90.45,88.20,89.55,2108100,89.23124
2014-12-03,87.68,88.90,87.19,88.59,2420000,88.27465
2014-12-02,86.62,87.85,86.62,87.52,1790300,87.20846
2014-12-01,87.25,87.83,85.90,86.49,1829600,86.18213
2014-11-28,86.35,87.40,86.22,87.11,712100,86.79993
2014-11-26,85.81,86.16,85.14,85.59,1488700,85.28533
2014-11-25,86.00,86.45,85.10,85.81,1457800,85.50455
2014-11-24,84.89,85.99,84.75,85.66,1600000,85.35509
2014-11-21,87.25,87.32,84.40,84.69,2259400,84.38854
2014-11-20,86.45,86.80,85.52,86.08,1740100,85.77359
2014-11-19,88.50,88.59,86.98,87.04,1188600,86.73017
2014-11-18,86.56,88.74,86.50,88.37,1644800,88.05544
2014-11-17,87.63,88.00,86.77,86.94,1164000,86.45117
2014-11-14,86.23,87.94,86.06,87.94,1395200,87.44555
2014-11-13,87.11,87.44,85.81,86.49,1236600,86.0037
2014-11-12,86.14,87.22,85.80,87.11,1775200,86.62022
