Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,36.00,36.23,35.67,35.79,7812000,35.79
2015-05-28,36.31,36.56,35.65,36.03,1586600,36.03
2015-05-27,35.97,36.49,35.92,36.45,1425400,36.45
2015-05-26,35.93,36.10,35.74,35.96,2355500,35.96
2015-05-22,35.96,36.21,35.74,35.93,1061000,35.93
2015-05-21,36.40,36.64,35.75,35.99,2178400,35.99
2015-05-20,36.05,36.69,35.79,36.63,2143300,36.63
2015-05-19,35.82,36.10,35.63,36.03,1345100,36.03
2015-05-18,35.66,35.85,35.40,35.79,1487000,35.79
2015-05-15,35.67,35.87,35.30,35.73,1473400,35.73
2015-05-14,35.05,35.63,35.03,35.59,1542800,35.59
2015-05-13,34.75,35.18,34.65,34.84,1917500,34.84
2015-05-12,35.00,35.19,34.69,34.72,1542100,34.72
2015-05-11,34.85,35.50,34.85,35.14,2389600,35.14
2015-05-08,34.87,35.16,34.75,34.94,1232400,34.94
2015-05-07,34.29,34.58,34.23,34.46,1741000,34.46
2015-05-06,34.54,34.67,34.15,34.27,1630100,34.27
2015-05-05,34.86,35.16,34.46,34.49,1650300,34.49
2015-05-04,34.94,35.22,34.83,35.03,1113500,35.03
2015-05-01,34.48,34.87,34.08,34.77,1765800,34.77
2015-04-30,34.37,34.89,34.27,34.32,2352800,34.32
2015-04-29,35.09,35.10,34.30,34.40,2127800,34.40
2015-04-28,34.77,35.22,34.62,35.21,1406800,35.21
2015-04-27,35.91,35.93,34.82,34.87,1422500,34.87
2015-04-24,35.50,35.74,35.10,35.73,1753700,35.73
2015-04-23,35.03,35.77,35.03,35.49,1869400,35.49
2015-04-22,36.00,36.00,34.75,35.17,2642000,35.17
2015-04-21,35.85,36.12,34.95,36.00,2539400,36.00
2015-04-20,35.06,35.25,34.95,35.14,1901100,35.14
2015-04-17,35.67,35.75,34.80,34.95,1695700,34.95
2015-04-16,35.71,36.06,35.45,35.95,1342900,35.95
2015-04-15,36.06,36.17,35.62,35.71,2404200,35.71
2015-04-14,36.05,36.21,35.81,35.93,1357600,35.93
2015-04-13,36.21,36.35,36.00,36.09,1080100,36.09
2015-04-10,36.04,36.49,35.89,36.29,1010000,36.29
2015-04-09,35.89,35.97,35.47,35.92,1634100,35.92
2015-04-08,35.72,36.20,35.71,36.03,1674300,36.03
2015-04-07,35.43,36.40,35.33,35.73,3374100,35.73
2015-04-06,36.84,37.02,35.29,35.53,4465100,35.53
2015-04-02,36.72,37.76,36.53,37.39,1821500,37.39
2015-04-01,37.04,37.16,36.49,36.81,1514300,36.81
2015-03-31,36.38,37.29,36.10,37.08,2687500,37.08
2015-03-30,36.50,36.75,36.35,36.64,1442500,36.64
2015-03-27,36.00,36.38,35.89,36.30,1080400,36.30
2015-03-26,35.77,36.26,35.70,36.06,1254200,36.06
2015-03-25,36.24,36.54,35.89,35.89,1755400,35.89
2015-03-24,36.16,36.39,35.95,36.16,1189900,36.16
2015-03-23,36.37,36.69,36.23,36.23,1215600,36.23
2015-03-20,36.47,36.63,36.30,36.39,2627000,36.39
2015-03-19,36.37,36.45,35.89,36.25,1302600,36.25
2015-03-18,36.35,36.86,36.14,36.56,1476500,36.56
2015-03-17,36.07,36.54,35.94,36.45,1737400,36.45
2015-03-16,35.68,36.33,35.45,36.31,1572500,36.31
2015-03-13,35.82,35.91,35.10,35.56,2186500,35.56
2015-03-12,35.12,36.08,35.10,36.06,1487200,36.06
2015-03-11,34.21,35.03,34.00,34.83,1506700,34.83
2015-03-10,34.49,34.50,34.11,34.16,1603300,34.16
2015-03-09,34.57,34.89,34.43,34.86,1184700,34.86
2015-03-06,34.53,34.86,34.40,34.57,1205600,34.57
2015-03-05,34.82,35.01,34.50,34.81,1313700,34.81
2015-03-04,35.16,35.28,34.56,34.77,1686000,34.77
2015-03-03,35.70,35.87,35.42,35.53,1317500,35.33
2015-03-02,35.48,35.98,35.42,35.84,1573100,35.63826
2015-02-27,35.73,35.87,35.39,35.40,2324300,35.20073
2015-02-26,35.25,36.00,35.18,35.68,2722000,35.47916
2015-02-25,35.15,35.45,35.08,35.25,1527500,35.05157
2015-02-24,34.88,35.20,34.85,35.17,1406300,34.97202
2015-02-23,34.66,34.97,34.51,34.95,1142600,34.75327
2015-02-20,34.35,34.69,33.88,34.66,1251800,34.4649
2015-02-19,34.54,34.67,34.27,34.45,975100,34.25608
2015-02-18,34.71,34.80,34.54,34.60,1129500,34.40523
2015-02-17,34.63,34.98,34.49,34.80,1203100,34.60411
2015-02-13,34.96,35.07,34.60,34.77,1360000,34.57428
2015-02-12,34.25,35.11,34.25,34.84,2600600,34.64388
2015-02-11,34.10,34.44,33.96,34.36,1209400,34.16659
2015-02-10,34.00,34.23,33.42,34.16,1371700,33.96771
2015-02-09,33.35,33.97,33.20,33.78,2736200,33.58985
2015-02-06,32.99,33.74,32.96,33.60,1875300,33.41086
2015-02-05,33.11,33.22,32.85,33.01,1236700,32.82418
2015-02-04,33.17,33.51,32.68,33.03,2103500,32.84407
2015-02-03,31.98,33.46,31.71,33.32,2704300,33.13244
2015-02-02,31.11,31.54,30.63,31.51,2083100,31.33263
2015-01-30,31.48,31.65,30.94,31.01,1372500,30.83544
2015-01-29,31.69,31.82,30.92,31.76,1291200,31.58122
2015-01-28,32.53,32.62,31.60,31.61,1308800,31.43207
2015-01-27,31.88,32.63,31.79,32.30,1273200,32.11818
2015-01-26,31.77,32.40,31.54,32.35,1365800,32.1679
2015-01-23,31.96,32.07,31.62,31.77,1190700,31.59117
2015-01-22,32.35,32.58,31.50,32.06,2391600,31.87953
2015-01-21,30.85,31.43,30.54,31.36,1850800,31.18347
2015-01-20,30.76,31.03,30.49,31.02,1425600,30.84539
2015-01-16,30.08,30.84,30.08,30.81,962700,30.63657
2015-01-15,30.95,30.96,30.00,30.11,1162600,29.94051
2015-01-14,30.83,31.06,30.35,30.92,1563100,30.74595
2015-01-13,30.52,31.30,30.52,31.26,2884100,31.08404
2015-01-12,30.63,30.69,30.06,30.16,1494300,29.99023
2015-01-09,30.60,30.99,30.51,30.69,1595500,30.51724
2015-01-08,30.21,30.73,30.13,30.49,3356700,30.31837
2015-01-07,29.95,30.05,29.41,29.87,1958700,29.70186
2015-01-06,30.15,30.17,29.30,29.62,2670500,29.45327
2015-01-05,30.33,30.36,29.77,30.12,2187800,29.95045
2015-01-02,32.00,32.15,30.41,30.66,2336900,30.48741
2014-12-31,32.40,32.46,31.89,31.93,1066900,31.75027
2014-12-30,32.42,32.43,32.10,32.35,942100,32.1679
2014-12-29,31.80,32.51,31.71,32.50,1231600,32.31705
2014-12-26,31.85,32.00,31.67,31.76,621900,31.58122
2014-12-24,31.78,31.86,31.49,31.68,509500,31.50167
2014-12-23,31.75,32.22,31.72,31.88,824200,31.70054
2014-12-22,31.97,32.06,31.49,31.59,1154600,31.41218
2014-12-19,31.31,32.15,31.08,31.99,2562800,31.80993
2014-12-18,30.90,31.11,30.53,31.11,1199900,30.93488
2014-12-17,29.56,30.49,29.56,30.41,1299400,30.23882
2014-12-16,29.82,30.33,29.51,29.51,1980800,29.34389
2014-12-15,30.75,30.82,29.71,29.82,2554700,29.65214
2014-12-12,30.83,31.20,30.56,30.56,2216000,30.38798
2014-12-11,31.98,32.12,31.33,31.44,1771000,31.26302
2014-12-10,32.35,32.55,31.71,31.91,1912600,31.73038
2014-12-09,31.75,32.56,31.65,32.54,1618600,32.35683
2014-12-08,32.61,32.69,31.99,32.09,1204400,31.90936
2014-12-05,32.97,33.10,32.58,32.69,940700,32.50599
2014-12-04,33.59,33.70,32.80,32.90,986400,32.71481
2014-12-03,32.85,33.68,32.68,33.64,1795000,33.45064
2014-12-02,32.73,33.34,32.73,33.08,1075200,32.69492
2014-12-01,32.37,32.84,32.15,32.65,990000,32.26992
2014-11-28,32.81,32.81,32.45,32.55,443500,32.17109
2014-11-26,32.18,32.75,32.18,32.74,690500,32.35888
2014-11-25,32.44,32.47,31.94,32.26,848900,31.88446
2014-11-24,31.65,32.35,31.63,32.28,1740900,31.90423
2014-11-21,31.94,31.94,31.24,31.45,1098800,31.08389
2014-11-20,31.08,31.71,31.03,31.58,717300,31.21238
2014-11-19,31.51,31.51,31.03,31.36,1002800,30.99494
2014-11-18,30.91,31.58,30.91,31.51,1123800,31.14319
2014-11-17,30.94,31.04,30.71,30.91,919000,30.55018
2014-11-14,30.85,31.10,30.76,31.05,1020900,30.68855
2014-11-13,30.97,31.45,30.67,30.88,879500,30.52053
2014-11-12,30.58,30.98,30.48,30.87,1007000,30.51064
2014-11-11,30.86,30.96,30.52,30.83,662300,30.47111
2014-11-10,30.35,30.84,30.35,30.76,1815500,30.40192
2014-11-07,30.89,30.95,30.20,30.31,1147100,29.95716
2014-11-06,30.73,31.03,30.46,31.02,1285400,30.6589
2014-11-05,31.09,31.15,30.41,30.59,1656500,30.2339
2014-11-04,31.16,31.16,30.45,30.66,1530700,30.30309
2014-11-03,31.49,31.71,31.20,31.32,1661200,30.9554
2014-10-31,31.72,31.72,31.16,31.50,1616700,31.13331
2014-10-30,31.90,32.00,30.97,31.16,2541100,30.79727
2014-10-29,31.69,32.10,31.62,32.04,1594400,31.66702
2014-10-28,31.48,31.74,31.38,31.68,1267700,31.31121
2014-10-27,31.22,31.40,30.95,31.35,1113700,30.98506
2014-10-24,31.23,31.45,30.93,31.43,1490700,31.06413
2014-10-23,30.41,31.36,30.41,31.24,2309700,30.87634
2014-10-22,30.64,30.78,29.99,30.07,2596700,29.71996
2014-10-21,29.16,30.60,29.16,30.53,3870400,30.1746
2014-10-20,27.85,29.34,27.85,29.08,4657200,28.74148
2014-10-17,27.61,27.96,27.54,27.69,2486500,27.36766
2014-10-16,26.37,27.58,26.31,27.33,2445800,27.01185
2014-10-15,25.99,27.04,25.95,26.88,3328200,26.56709
2014-10-14,26.48,26.92,26.22,26.47,3055200,26.16186
2014-10-13,27.18,27.41,26.31,26.34,3205000,26.03338
2014-10-10,27.91,28.07,27.26,27.27,1841700,26.95255
2014-10-09,29.08,29.13,27.89,27.89,2713000,27.56533
2014-10-08,28.96,29.22,28.56,29.21,2349500,28.86997
2014-10-07,29.16,29.48,28.97,28.99,1645600,28.65253
2014-10-06,29.80,29.80,29.31,29.34,1172900,28.99846
2014-10-03,29.44,29.78,29.25,29.62,1939000,29.2752
2014-10-02,29.13,29.51,28.43,29.23,4540700,28.88973
2014-10-01,29.67,29.69,29.00,29.21,2665900,28.86997
2014-09-30,30.05,30.13,29.64,29.67,1655500,29.32461
2014-09-29,29.98,30.27,29.81,30.08,2030400,29.72984
2014-09-26,29.99,30.30,29.90,30.21,1876400,29.85833
2014-09-25,30.39,30.46,29.88,29.97,4101600,29.62112
2014-09-24,31.02,31.14,30.33,30.61,4931500,30.25367
2014-09-23,31.79,32.01,31.05,31.06,3448600,30.69843
2014-09-22,32.33,32.38,31.76,31.81,1895400,31.4397
2014-09-19,32.58,32.90,32.35,32.36,2627600,31.9833
2014-09-18,32.31,32.52,32.13,32.38,1640400,32.00307
2014-09-17,32.50,32.71,32.21,32.29,1379000,31.91411
2014-09-16,32.10,32.57,31.91,32.45,2091500,32.07225
2014-09-15,32.37,32.37,31.85,32.10,1118000,31.72632
2014-09-12,32.13,32.18,31.82,32.15,1467200,31.77575
2014-09-11,31.94,32.42,31.90,32.11,1757800,31.73621
2014-09-10,32.50,32.58,31.90,32.11,3328500,31.73621
