Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,49.88,50.35,49.18,49.19,4443400,49.19
2015-05-28,50.02,50.11,49.08,49.89,3866400,49.89
2015-05-27,49.79,50.79,49.42,50.30,3675800,50.30
2015-05-26,50.03,50.69,49.72,49.96,3513600,49.96
2015-05-22,50.84,51.55,50.51,50.71,3334000,50.71
2015-05-21,50.44,51.95,50.18,51.40,4638400,51.40
2015-05-20,50.28,50.37,49.62,50.17,3466800,50.17
2015-05-19,50.73,50.80,49.27,49.96,5090900,49.96
2015-05-18,51.11,51.29,50.33,51.18,3292400,51.18
2015-05-15,51.02,51.65,50.31,51.27,7281200,51.27
2015-05-14,51.81,52.47,50.93,51.22,4268400,51.22
2015-05-13,51.99,52.40,51.16,51.88,4960100,51.88
2015-05-12,51.49,52.01,50.76,51.48,4300800,51.48
2015-05-11,52.40,52.55,51.10,51.33,6394600,51.33
2015-05-08,52.50,53.32,51.28,53.23,4400600,53.23
2015-05-07,53.59,53.59,51.67,51.97,6941800,51.97
2015-05-06,56.13,56.13,53.99,54.52,6011700,54.52
2015-05-05,55.47,56.03,54.82,55.40,4727000,55.40
2015-05-04,54.86,55.12,53.87,54.74,3798700,54.74
2015-05-01,54.35,55.00,53.85,54.73,4092200,54.73
2015-04-30,53.23,54.77,52.49,54.41,7122300,54.41
2015-04-29,50.48,53.12,50.38,52.92,9178600,52.92
2015-04-28,51.22,52.18,50.18,51.93,14461500,51.93
2015-04-27,55.61,55.61,54.26,54.69,5395400,54.69
2015-04-24,55.44,55.50,53.83,54.20,7420400,54.20
2015-04-23,54.08,56.07,53.89,55.75,6465200,55.75
2015-04-22,53.20,54.40,52.55,53.93,5615500,53.93
2015-04-21,55.03,55.12,53.04,53.13,4286500,53.13
2015-04-20,54.54,55.42,54.52,55.03,4159600,55.03
2015-04-17,55.17,55.17,54.07,54.59,4915400,54.59
2015-04-16,55.59,56.43,54.61,55.30,4733500,55.30
2015-04-15,54.75,56.64,54.34,56.00,7099100,56.00
2015-04-14,53.59,54.54,53.48,54.36,4282700,54.36
2015-04-13,54.69,54.71,53.03,53.18,4428500,53.18
2015-04-10,54.65,54.97,54.06,54.43,3589000,54.43
2015-04-09,52.99,54.72,52.99,54.55,4766900,54.55
2015-04-08,52.99,53.25,52.24,52.74,5627400,52.74
2015-04-07,52.71,53.19,52.33,52.77,4545100,52.77
2015-04-06,51.33,53.06,51.27,52.70,8068100,52.70
2015-04-02,49.62,51.14,49.60,51.01,5401600,51.01
2015-04-01,50.19,50.47,49.87,49.92,4704000,49.92
2015-03-31,49.40,50.17,49.20,49.99,11090700,49.99
2015-03-30,49.19,50.04,48.75,49.84,5762700,49.84
2015-03-27,48.99,49.65,48.48,49.25,6237800,49.25
2015-03-26,49.69,49.81,48.73,48.95,4492100,48.95
2015-03-25,49.05,49.43,48.69,49.04,5571000,49.04
2015-03-24,49.48,49.63,48.48,48.51,5746300,48.51
2015-03-23,49.66,50.34,49.35,49.36,4996400,49.36
2015-03-20,48.34,49.94,48.30,49.66,15174300,49.66
2015-03-19,47.90,48.45,47.78,47.89,6670400,47.89
2015-03-18,47.21,48.79,46.08,48.59,11927100,48.59
2015-03-17,48.18,48.48,47.37,47.46,9079000,47.46
2015-03-16,48.71,48.85,47.79,48.67,6963300,48.67
2015-03-13,49.34,49.59,48.07,49.07,7428700,49.07
2015-03-12,50.25,50.32,49.78,49.80,5869800,49.80
2015-03-11,50.87,50.87,49.87,50.16,4501400,50.16
2015-03-10,51.12,51.49,50.30,50.68,6891900,50.22
2015-03-09,52.52,52.93,51.65,51.65,6198800,51.1812
2015-03-06,53.10,53.33,52.37,52.54,5153100,52.06312
2015-03-05,54.55,54.55,53.53,53.60,5106800,53.11349
2015-03-04,54.60,54.95,53.90,54.78,4327900,54.28279
2015-03-03,55.84,56.17,54.23,54.44,6267700,53.94587
2015-03-02,54.35,55.82,53.90,55.79,9182800,55.28362
2015-02-27,53.50,54.50,53.21,54.35,5206600,53.85669
2015-02-26,54.30,54.50,52.80,53.27,5113400,52.7865
2015-02-25,54.72,55.00,54.07,54.74,3748700,54.24315
2015-02-24,54.68,54.75,53.82,54.68,5802300,54.1837
2015-02-23,53.50,54.80,53.22,54.30,5512300,53.80714
2015-02-20,54.11,54.56,53.52,54.47,5417600,53.9756
2015-02-19,53.48,55.05,52.88,54.24,10179400,53.74769
2015-02-18,54.60,55.92,54.35,55.84,9429200,55.33317
2015-02-17,53.32,55.16,52.78,55.13,8033800,54.62961
2015-02-13,53.20,53.62,52.44,53.36,6959800,52.87568
2015-02-12,52.78,53.63,52.23,52.56,6956000,52.08294
2015-02-11,51.77,52.44,51.34,51.89,6927100,51.41902
2015-02-10,52.79,52.96,51.68,52.35,8193300,51.87484
2015-02-09,51.56,53.25,51.49,52.78,9154200,52.30094
2015-02-06,53.75,53.75,49.25,51.43,14993400,50.9632
2015-02-05,53.12,53.58,52.36,53.24,6543200,52.75677
2015-02-04,52.95,53.49,51.73,52.33,12118600,51.85503
2015-02-03,57.53,57.66,53.14,54.08,17343900,53.58914
2015-02-02,55.16,56.40,54.34,56.39,7454600,55.87817
2015-01-30,52.90,55.40,52.64,54.43,7953500,53.93596
