Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,18.70,19.00,18.46,18.83,12246700,18.83
2015-05-28,18.94,18.96,18.31,18.64,3767800,18.64
2015-05-27,18.84,19.23,18.61,19.11,3551300,19.11
2015-05-26,19.58,19.72,18.89,18.94,3577800,18.94
2015-05-22,19.46,19.95,19.35,19.84,2838900,19.84
2015-05-21,19.46,19.73,19.29,19.69,2090400,19.69
2015-05-20,19.70,19.71,19.04,19.28,2987400,19.26
2015-05-19,19.95,20.11,19.38,19.68,2942000,19.65959
2015-05-18,20.00,20.23,19.71,20.21,2266100,20.18903
2015-05-15,19.78,20.28,19.50,20.05,2647400,20.0292
2015-05-14,20.26,20.26,19.82,19.95,3002500,19.92931
2015-05-13,20.93,20.99,19.97,20.21,3551200,20.18903
2015-05-12,20.59,20.99,20.43,20.71,2472200,20.68851
2015-05-11,21.66,21.66,20.40,20.46,3731300,20.43877
2015-05-08,21.35,21.65,20.90,21.59,3244800,21.5676
2015-05-07,22.07,22.07,21.09,21.16,3671400,21.13805
2015-05-06,22.36,22.63,21.97,22.06,2821100,22.03712
2015-05-05,23.26,23.46,22.03,22.06,3227800,22.03712
2015-05-04,22.52,23.03,22.30,22.96,3898100,22.93618
2015-05-01,22.55,22.72,22.06,22.49,3566200,22.46667
2015-04-30,23.51,23.90,21.83,22.50,6736400,22.47666
2015-04-29,22.73,23.52,22.64,23.45,3555000,23.42567
2015-04-28,22.47,22.97,22.37,22.77,3095800,22.74638
2015-04-27,22.30,22.54,22.23,22.44,2599900,22.41672
2015-04-24,22.11,22.32,21.75,22.17,3192000,22.147
2015-04-23,22.26,22.56,22.22,22.28,2164600,22.25689
2015-04-22,22.25,22.57,22.08,22.17,2591100,22.147
2015-04-21,22.73,22.84,22.03,22.18,3191600,22.15699
2015-04-20,22.82,23.19,22.64,22.70,2257600,22.67645
2015-04-17,23.02,23.20,22.61,22.71,2719000,22.68644
2015-04-16,23.89,23.89,23.20,23.20,3440400,23.17593
2015-04-15,23.02,24.04,22.78,23.76,2683000,23.73535
2015-04-14,22.57,22.89,22.41,22.85,2211400,22.8263
2015-04-13,22.59,22.68,22.15,22.40,2520500,22.37676
2015-04-10,22.50,22.52,22.25,22.41,1675300,22.38675
2015-04-09,22.32,22.60,22.18,22.38,2813500,22.35678
2015-04-08,23.00,23.05,21.97,22.19,4356600,22.16698
2015-04-07,22.23,23.06,22.05,22.92,2528600,22.89622
2015-04-06,21.91,22.37,21.71,22.28,2416400,22.25689
2015-04-02,20.74,21.76,20.68,21.70,3283000,21.67749
2015-04-01,21.04,21.34,20.68,20.88,4069900,20.85834
2015-03-31,20.99,21.36,20.79,20.85,2873000,20.82837
2015-03-30,21.39,21.74,20.80,21.25,3207000,21.22796
2015-03-27,21.50,21.53,21.00,21.07,2189900,21.04814
2015-03-26,21.62,21.88,21.25,21.68,2953900,21.65751
2015-03-25,20.85,21.29,20.57,21.04,3154900,21.01818
2015-03-24,20.34,20.74,20.15,20.64,2780100,20.61859
