Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,42.98,43.13,42.58,42.68,3456400,42.68
2015-05-28,42.97,43.10,42.80,43.01,4520800,43.01
2015-05-27,42.64,43.09,42.44,42.99,2753100,42.99
2015-05-26,42.85,42.86,42.44,42.72,2655400,42.48
2015-05-22,42.88,43.16,42.81,42.90,1282200,42.65899
2015-05-21,42.83,43.11,42.73,42.90,1808500,42.65899
2015-05-20,43.17,43.37,42.69,42.97,3481800,42.7286
2015-05-19,42.99,43.67,42.93,43.62,3018200,43.37494
2015-05-18,42.20,42.86,42.15,42.78,1798200,42.53966
2015-05-15,42.84,42.91,41.90,42.15,2083000,41.9132
2015-05-14,43.04,43.15,42.66,42.78,2188200,42.53966
2015-05-13,42.59,43.00,42.38,42.90,1732500,42.65899
2015-05-12,42.49,42.78,42.08,42.66,2437600,42.42034
2015-05-11,42.29,42.80,42.17,42.65,2217000,42.4104
2015-05-08,42.00,42.38,41.70,42.36,1959300,42.12202
2015-05-07,41.79,41.92,41.48,41.74,1895600,41.50551
2015-05-06,42.32,42.48,41.54,41.87,2228400,41.63477
2015-05-05,42.26,42.86,42.16,42.17,4905000,41.93309
2015-05-04,41.73,42.45,41.65,42.45,3910800,42.21152
2015-05-01,41.75,41.84,41.36,41.68,2722700,41.44584
2015-04-30,41.61,41.81,41.26,41.50,3975800,41.26685
2015-04-29,41.02,41.89,41.01,41.70,3342400,41.46573
2015-04-28,40.68,41.17,40.46,41.15,2721300,40.91882
2015-04-27,40.67,41.21,40.53,40.63,2779700,40.40174
2015-04-24,40.76,40.83,40.40,40.47,3595600,40.24264
2015-04-23,41.19,41.27,40.86,40.91,4628900,40.68017
2015-04-22,41.50,41.64,41.02,41.42,4236100,41.1873
2015-04-21,41.85,42.11,41.24,41.47,5439800,41.23702
2015-04-20,41.91,42.06,41.52,41.77,4555100,41.53534
2015-04-17,41.83,41.98,41.32,41.41,3227300,41.17736
2015-04-16,42.16,42.30,41.69,42.13,2094100,41.89331
2015-04-15,41.69,42.44,41.61,42.26,3031900,42.02258
2015-04-14,41.81,41.89,41.45,41.65,3404400,41.41601
2015-04-13,41.40,41.92,41.40,41.91,2736400,41.67455
2015-04-10,41.48,41.59,41.32,41.50,1432300,41.26685
2015-04-09,41.23,41.59,41.05,41.51,1779200,41.27679
2015-04-08,41.36,41.55,41.09,41.37,2653700,41.13758
2015-04-07,41.08,41.44,41.07,41.19,1879200,40.9586
2015-04-06,40.99,41.39,40.63,41.08,3118100,40.84922
2015-04-02,40.85,41.45,40.77,41.37,2887900,41.13758
2015-04-01,40.51,40.98,40.44,40.84,2784600,40.61056
2015-03-31,40.88,41.19,40.70,41.09,2660100,40.85916
2015-03-30,40.79,41.33,40.77,41.13,2027000,40.89893
2015-03-27,40.68,40.78,40.33,40.55,2113100,40.32219
2015-03-26,40.50,40.95,40.20,40.70,3323300,40.47135
2015-03-25,41.40,41.44,40.54,40.54,5807400,40.31225
2015-03-24,41.93,42.07,41.54,41.55,3670500,41.31657
2015-03-23,42.69,42.81,41.93,41.93,3874200,41.69444
2015-03-20,42.39,42.75,42.20,42.66,3487400,42.42034
2015-03-19,42.45,42.52,41.74,42.13,3494400,41.89331
2015-03-18,42.69,43.23,42.12,42.55,5916400,42.31096
2015-03-17,42.51,42.91,42.29,42.91,3256000,42.66893
2015-03-16,42.59,42.80,42.41,42.78,2507800,42.53966
2015-03-13,42.66,42.72,41.88,42.43,2463300,42.19163
2015-03-12,41.85,42.74,41.85,42.72,3477000,42.48
2015-03-11,41.28,41.55,41.14,41.41,2069700,41.17736
