Date,Open,High,Low,Close,Volume,Adj Close
2015-05-29,43.76,43.78,43.06,43.11,7758000,43.11
2015-05-28,43.75,43.82,43.46,43.70,4839200,43.70
2015-05-27,43.58,44.06,43.46,43.86,5783600,43.86
2015-05-26,43.54,43.60,43.23,43.37,7527900,43.37
2015-05-22,43.86,43.96,43.54,43.57,6133800,43.57
2015-05-21,44.01,44.11,43.83,43.86,5941300,43.86
2015-05-20,44.60,44.65,44.00,44.09,8043300,44.09
2015-05-19,44.41,44.73,44.28,44.69,4540500,44.69
2015-05-18,43.97,44.28,43.92,44.20,5101200,44.20
2015-05-15,44.40,44.47,43.73,43.93,4966300,43.93
2015-05-14,44.36,44.45,44.07,44.38,4140500,44.38
2015-05-13,43.85,44.24,43.72,44.14,5966400,44.14
2015-05-12,43.50,43.95,43.23,43.90,6695500,43.90
2015-05-11,43.77,43.98,43.71,43.75,3953800,43.75
2015-05-08,43.35,43.88,43.18,43.86,5144600,43.86
2015-05-07,43.09,43.23,42.81,43.10,4677400,43.10
2015-05-06,43.65,43.65,42.83,43.10,4791500,43.10
2015-05-05,43.35,43.79,43.24,43.25,5444900,43.25
2015-05-04,43.07,43.59,42.97,43.54,5118300,43.54
2015-05-01,43.00,43.19,42.76,42.91,3736600,42.91
2015-04-30,42.94,43.18,42.59,42.87,6337700,42.87
2015-04-29,42.70,43.22,42.69,42.98,5617600,42.98
2015-04-28,42.56,42.96,42.40,42.87,5800600,42.87
2015-04-27,42.84,43.04,42.54,42.56,5699400,42.56
2015-04-24,42.67,42.86,42.49,42.74,6454900,42.74
2015-04-23,42.67,43.00,42.52,42.82,6878300,42.82
2015-04-22,42.68,42.95,42.26,42.83,5514700,42.83
2015-04-21,42.90,42.99,42.46,42.50,6165600,42.50
2015-04-20,42.72,42.93,42.60,42.76,5692100,42.76
2015-04-17,42.65,42.75,42.12,42.44,9347700,42.44
2015-04-16,43.38,43.38,42.52,42.94,10131900,42.94
2015-04-15,43.11,43.88,43.04,43.43,10881600,43.43
2015-04-14,43.80,44.04,43.32,43.53,7541800,43.53
2015-04-13,43.81,44.18,43.66,44.09,6135300,44.09
2015-04-10,43.50,43.76,43.31,43.75,4030200,43.75
2015-04-09,43.28,43.59,43.12,43.57,3702700,43.57
2015-04-08,43.37,43.62,43.31,43.43,3820400,43.43
2015-04-07,43.37,43.54,43.19,43.35,4355400,43.35
2015-04-06,43.01,43.54,42.86,43.32,5942800,43.32
2015-04-02,43.47,43.86,43.38,43.71,4470700,43.71
2015-04-01,43.54,43.61,43.12,43.49,6130100,43.49
2015-03-31,43.47,43.84,43.34,43.67,5714100,43.67
2015-03-30,43.08,44.03,43.07,43.79,6236700,43.79
2015-03-27,43.06,43.08,42.71,42.86,4816300,42.86
2015-03-26,43.24,43.47,42.73,43.25,6705900,43.005
2015-03-25,44.13,44.21,43.41,43.42,6434700,43.17403
2015-03-24,44.58,44.68,44.20,44.20,4844500,43.94962
2015-03-23,44.91,45.08,44.70,44.71,6753900,44.45673
2015-03-20,44.61,45.06,44.43,44.86,10343100,44.60588
2015-03-19,44.81,44.81,44.22,44.44,7568500,44.18826
2015-03-18,44.69,45.16,44.50,44.85,8831300,44.59593
2015-03-17,44.69,45.00,44.46,44.95,4972800,44.69537
2015-03-16,44.51,45.07,44.37,44.97,6022300,44.71526
2015-03-13,44.46,44.54,43.95,44.29,5593800,44.03911
2015-03-12,44.13,44.50,43.88,44.47,9056800,44.21809
2015-03-11,43.85,44.04,43.57,43.75,6232400,43.50217
2015-03-10,44.48,44.49,43.71,43.71,5399300,43.46239
2015-03-09,44.68,45.01,44.65,44.89,5090500,44.63571
2015-03-06,44.64,45.46,44.54,44.67,7189100,44.41695
2015-03-05,44.44,44.62,44.20,44.58,4148900,44.32747
2015-03-04,44.51,44.57,44.26,44.41,5553200,44.15843
2015-03-03,44.63,44.84,44.48,44.75,4142800,44.4965
2015-03-02,44.61,44.88,44.45,44.88,4716900,44.62577
2015-02-27,44.86,44.99,44.60,44.61,4626000,44.3573
2015-02-26,44.80,44.99,44.63,44.93,4133900,44.67548
2015-02-25,44.78,44.94,44.61,44.84,3773000,44.58599
2015-02-24,44.54,44.86,44.50,44.72,5083600,44.46667
2015-02-23,44.44,44.50,44.21,44.48,3994500,44.22803
2015-02-20,44.08,44.65,43.83,44.62,7120800,44.36724
2015-02-19,44.47,44.57,44.12,44.32,5012900,44.06894
2015-02-18,44.93,45.10,44.46,44.53,5182800,44.27775
2015-02-17,44.89,45.17,44.67,45.07,4980200,44.81469
2015-02-13,45.12,45.26,44.87,45.07,8634500,44.81469
2015-02-12,44.64,45.15,44.32,45.12,7120300,44.86441
2015-02-11,44.33,44.42,44.02,44.27,4017400,44.01922
2015-02-10,44.57,44.65,44.25,44.52,5983500,44.2678
2015-02-09,44.09,44.43,44.01,44.17,4569200,43.91978
2015-02-06,44.31,44.90,44.24,44.41,7424500,44.15843
2015-02-05,43.75,44.14,43.62,44.00,6625400,43.75075
2015-02-04,43.14,43.95,43.14,43.58,9661800,43.33313
2015-02-03,42.47,43.55,42.47,43.28,8767500,43.03483
2015-02-02,42.20,42.78,41.68,42.73,6199500,42.48795
2015-01-30,41.97,42.48,41.83,41.91,10416500,41.67259
2015-01-29,42.12,42.69,42.00,42.57,6882900,42.32885
2015-01-28,43.16,43.29,42.09,42.10,7580400,41.86151
2015-01-27,42.94,43.34,42.81,42.98,5395500,42.73653
2015-01-26,43.15,43.56,42.94,43.53,4607600,43.28341
2015-01-23,43.41,43.79,43.31,43.32,8159000,43.0746
2015-01-22,42.55,43.54,42.41,43.43,9471900,43.18398
2015-01-21,41.59,42.85,41.35,42.20,11209400,41.96095
2015-01-20,41.66,41.68,40.74,41.21,12682100,40.97655
2015-01-16,40.75,41.57,40.75,41.52,9896400,41.2848
2015-01-15,41.23,41.35,40.70,40.94,10875800,40.70808
2015-01-14,41.51,41.70,40.77,41.34,12845300,41.10582
2015-01-13,42.80,43.02,41.77,42.10,7290900,41.86151
2015-01-12,42.98,43.13,42.44,42.56,4857700,42.31891
2015-01-09,43.88,44.03,42.82,42.96,8095700,42.71664
2015-01-08,43.97,44.16,43.78,43.87,10417600,43.62149
2015-01-07,43.60,43.69,43.14,43.55,5073700,43.3033
2015-01-06,43.90,44.00,42.88,43.17,8523700,42.92545
2015-01-05,44.55,44.77,43.69,43.75,6568700,43.50217
2015-01-02,45.43,45.49,44.40,44.83,5010500,44.57605
2014-12-31,45.70,45.79,44.94,44.95,5691600,44.69537
2014-12-30,45.56,45.70,45.46,45.56,4342000,45.30191
2014-12-29,45.42,45.95,45.35,45.66,4026500,45.40135
2014-12-26,45.95,45.95,45.73,45.74,3123800,45.23729
2014-12-24,46.06,46.09,45.62,45.75,1905500,45.24717
2014-12-23,45.86,46.10,45.76,45.91,4941600,45.40541
2014-12-22,45.26,45.64,45.12,45.64,6295900,45.13838
2014-12-19,45.28,45.54,44.87,45.20,11712800,44.70322
2014-12-18,44.45,45.35,44.39,45.34,8588900,44.84168
2014-12-17,43.44,44.00,43.26,43.92,7204300,43.43729
2014-12-16,43.25,43.98,43.02,43.10,9104900,42.6263
2014-12-15,44.09,44.29,43.35,43.45,7610900,42.97245
2014-12-12,44.29,44.63,43.85,43.89,8406300,43.40762
2014-12-11,44.88,45.24,44.58,44.70,6414800,44.20871
2014-12-10,45.19,45.39,44.62,44.64,8960000,44.14937
2014-12-09,44.93,45.26,44.58,45.21,7098200,44.71311
2014-12-08,44.79,45.52,44.70,45.37,10611500,44.87135
2014-12-05,44.73,45.21,44.73,45.13,7348300,44.63399
